FID,AREA,PERIMETER,全省_,全省_ID,CNTY_CODE,NAME,PYNAME,UNICODE200,CITY_PYNAM,CITY_NAME,PROV_PYNAM,PROV_NAME,SO2,NOX,CO,NH3,VOC,PM10,PM2_5,a50,a60,a70,a80,a90,a100,CITY_NAME_1,a10,a20,a30
0,10217392421.765699000000000,762775.450410000050000,5.000000000000000,5.000000000000000,513231.000000000000000,阿坝县,Aba(Ngawa) Xian,ASICHN051032031,Aba(Ngawa) Zangzu Qiangzu Zizhizhou,阿坝藏族羌族自治州,Sichuan,四川,174.000000000000000,254.000000000000000,795.000000000000000,739.000000000000000,1204.000000000000000,1423.000000000000000,1356.000000000000000,0,0,0,0,0,0,阿坝藏族羌族自治州,23423,345,123
1,5957745682.494170200000000,524897.838349999980000,9.000000000000000,9.000000000000000,510727.000000000000000,平武县,Pingwu Xian,ASICHN051007027,Mianyang City,绵阳市,Sichuan,四川,1750.000000000000000,4863.000000000000000,6130.000000000000000,1673.000000000000000,4629.000000000000000,3782.000000000000000,2784.000000000000000,0,0,0,0,0,0,,0,0,0
2,13247450534.164801000000000,847521.872300000050000,19.000000000000000,19.000000000000000,513422.000000000000000,木里藏族自治县,Muli Zangzu Zizhixian,ASICHN051034022,Liangshan Yizu Zizhizhou,凉山彝族自治州,Sichuan,四川,244.000000000000000,208.000000000000000,1477.000000000000000,295.000000000000000,2312.000000000000000,572.000000000000000,431.000000000000000,0,0,0,0,0,0,,0,0,0
3,1112779163.468730000000000,265113.759700000000000,34.000000000000000,34.000000000000000,511502.000000000000000,宜宾市翠屏区,YibinShi Cuiping Qu,ASICHN051015002,Yibin City,宜宾市,Sichuan,四川,10312.000000000000000,7635.000000000000000,15593.000000000000000,12392.000000000000000,5948.000000000000000,20671.000000000000000,19993.000000000000000,0,0,0,0,0,0,,0,0,0
4,649827466.680840020000000,225151.654630000000000,37.000000000000000,37.000000000000000,510502.000000000000000,泸州市江阳区,LuzhouShi Jiangyang Qu,ASICHN051005002,Luzhou City,泸州市,Sichuan,四川,6938.000000000000000,5550.000000000000000,10809.000000000000000,9414.000000000000000,3082.000000000000000,15922.000000000000000,15479.000000000000000,0,0,0,0,0,0,,0,0,0
5,7374494413.580470100000000,737338.498230000030000,64.000000000000000,64.000000000000000,513328.000000000000000,甘孜县,Garzê Xian,ASICHN051033028,Garzê Zangzu Zizhizhou,甘孜藏族自治州,Sichuan,四川,206.000000000000000,417.000000000000000,796.000000000000000,1248.000000000000000,953.000000000000000,2391.000000000000000,2333.000000000000000,0,0,0,0,0,0,,0,0,0
6,1484434772.106869900000000,306493.305449999990000,84.000000000000000,84.000000000000000,510802.000000000000000,广元市市中区,GuangyuanShi Shizhong Qu,ASICHN051008002,Guangyuan City,广元市,Sichuan,四川,3210.000000000000000,4221.000000000000000,5811.000000000000000,10204.000000000000000,5810.000000000000000,18674.000000000000000,18281.000000000000000,0,0,0,0,0,0,,0,0,0
7,2561031128.278719900000000,329097.880609999990000,86.000000000000000,86.000000000000000,511902.000000000000000,巴中市巴州区,BazhongShi Bazhou Qu,ASICHN051019002,Bazhong City,巴中市,Sichuan,四川,4136.000000000000000,5237.000000000000000,12560.000000000000000,14046.000000000000000,9853.000000000000000,26420.000000000000000,25810.000000000000000,0,0,0,0,0,0,,0,0,0
8,2240300818.353660100000000,403596.882459999990000,92.000000000000000,92.000000000000000,510411.000000000000000,攀枝花市仁和区,PanzhihuaShi Renhe Qu,ASICHN051004011,Panzhihua City,攀枝花市,Sichuan,四川,4425.000000000000000,3559.000000000000000,6218.000000000000000,6607.000000000000000,2215.000000000000000,10923.000000000000000,10686.000000000000000,0,0,0,0,0,0,,0,0,0
9,65767916.667760000000000,50172.459589999999000,118.000000000000000,118.000000000000000,510104.000000000000000,成都市锦江区,ChengduShi Jinjiang Qu,ASICHN051001004,Chengdu City,成都市,Sichuan,四川,6167.000000000000000,5793.000000000000000,8952.000000000000000,3819.000000000000000,843.000000000000000,4091.000000000000000,3254.000000000000000,0,0,0,0,0,0,,0,0,0
