CITY_NAME,a10,a20,a30,a40,a50,a60,a70,a80,a90,a100
阿坝藏族羌族自治州,2.11,48.77,43.81,0.00,4.79,0.22,0.00,0.11,0.08,0.11
绵阳市,41.88,50.67,5.89,0,0.11,0.65,0,0.79,0,0.00
凉山彝族自治州,19.52,58.16,16.12,5.02,0.02,0.44,0,0.29,0.34,0.09
宜宾市,53.73,28.74,15.96,0.01,0.11,0.86,0,0.59,0,0
泸州市,51.79,31.35,15.10,0.01,0.29,1.04,0,0.43,0,0
甘孜藏族自治州,1.00,31.44,60.60,3.75,0.12,0.29,0.00,0.05,1.62,1.13
广元市,37.72,56.37,4.55,0.17,0.01,0.84,0,0.34,0,0
巴中市,46.43,51.95,0.43,0.23,0.01,0.77,0,0.18,0,0
攀枝花市,21.92,56.70,14.29,4.65,0.01,1.34,0,1.04,0.05,0
成都市,63.69,25.24,3.75,0.00,0.07,0.89,0,6.36,0,0
德阳市,71.19,19.10,6.56,0.06,0.12,0.75,0,2.23,0,0
南充市,79.58,16.53,1.13,0.09,0.05,1.83,0,0.79,0,0
广安市,79.77,14.94,2.80,0.04,0.05,1.71,0,0.69,0,0
达州市,49.83,46.41,2.36,0.03,0.03,0.95,0.00,0.39,0,0
雅安市,15.49,76.84,5.65,1.10,0.05,0.43,0,0.32,0,0.12
眉山市,67.55,24.63,2.40,2.27,0.07,1.55,0,1.52,0,0
乐山市,32.18,48.18,15.26,1.98,0.18,1.02,0,1.19,0,0
资阳市,90.25,4.91,1.81,1.17,0.01,1.35,0,0.50,0,0
自贡市,84.27,7.71,5.38,0.11,0.07,1.05,0,1.39,0,0
遂宁市,82.50,14.01,0.66,0,0.15,1.64,0,1.05,0,0
内江市,87.06,7.42,2.91,0.62,0.01,0.98,0,0.98,0,0
